"","lat","long","datetime","TSK","PSFC","U10","V10","Q2","RAINC","RAINNC","SNOW","TSLB","SMOIS","wind_speed"
"18353","51.529","0.022",2018-05-01 00:00:00,280,100442,2.5,-0.8,0.00498,0,0,0,280.2,0.3711,2.62488094968134
"18354","51.529","0.022",2018-05-01 03:00:00,280,100502,3.3,-0.1,0.00498,0,0,0,279.7,0.3684,3.30151480384384
"18355","51.529","0.022",2018-05-01 06:00:00,280,100598,2.8,0.8,0.00498,0,0,0,279.2,0.3663,2.91204395571221
"18356","51.529","0.022",2018-05-01 09:00:00,288.6,100634,3.1,1.3,0.00498,0,0,0,285,0.3645,3.36154726279432
"18357","51.529","0.022",2018-05-01 12:00:00,295.2,100579,3.4,3,0.00498,0,0,0,290.3,0.363,4.53431361950185
"18358","51.529","0.022",2018-05-01 15:00:00,293.7,100484,3.8,5.9,0.00498,0,0,0,290.3,0.361721056273088,7.0178344238091
"18359","51.529","0.022",2018-05-01 18:00:00,286.9,100515,3.3,6.1,0.00498,0,0,0,288.7,0.3606,6.93541635375988
"18360","51.529","0.022",2018-05-01 21:00:00,283.7,100445,0.5,4.9,0.00502,0,0,0,285.25,0.3596,4.9254441424099
"18361","51.529","0.022",2018-05-02 00:00:00,281.6,100343,0.5,5.6,0.00536,0,0,0,281.8,0.3583,5.62227711874824
"18362","51.529","0.022",2018-05-02 03:00:00,281.9,100230,0.6,6.1,0.00551,0,0,0,282,0.3575,6.12943716828878
"18363","51.529","0.022",2018-05-02 06:00:00,282.5,100230,0.7,7,0.00566,0,0,0,282.3,0.3567,7.03491293478462
"18364","51.529","0.022",2018-05-02 09:00:00,282.9,100230,0.8,6.5,0.00607,0,0.5,0,282.8,0.3568,6.54904573201318
"18365","51.529","0.022",2018-05-02 12:00:00,283.4,100230,1.7,4.9,0.00674,0,0.5,0,283.1,0.3576,5.18652099195598
"18366","51.529","0.022",2018-05-02 15:00:00,290.7,100230,2.9,0.8,0.00692,0,0.5,0,285.2,0.3569,3.00832179129826
"18367","51.529","0.022",2018-05-02 18:00:00,287.9,100409,4.1,-3.3,0.00498,0.1,0.5,0,287.6,0.3632,5.26307894677631
"18368","51.529","0.022",2018-05-02 21:00:00,283.2,100759,2.5,-0.8,0.00498,0.1,0.5,0,284.5,0.3594,2.62488094968134
"18369","51.529","0.022",2018-05-03 00:00:00,280.3,101013,2.3,0,0.00506,0,0,0,281.967029444734,0.3603,2.3
"18370","51.529","0.022",2018-05-03 03:00:00,280,101222,1.6,0.2,0.00498,0,0,0,280.2,0.359,1.61245154965971
"18371","51.529","0.022",2018-05-03 06:00:00,280.9,101335,1.3,0.1,0.00498,0,0,0,280.2,0.3579,1.30384048104053
"18372","51.529","0.022",2018-05-03 09:00:00,291.2,101474,0.7,0.4,0.00498,0,0,0,286.4,0.357,0.806225774829855
"18373","51.529","0.022",2018-05-03 12:00:00,296.8,101546,2,0.6,0.00498,0,0,0,290.3,0.3562,2.08806130178211
"18374","51.529","0.022",2018-05-03 15:00:00,296.8,101467,2.2,0.4,0.00498,0,0,0,290.3,0.3555,2.23606797749979
